======================================================================
AVAILABLE IN BOTH FILES (529 items)
======================================================================
Master Name                         Points
Corsola                                  2
Corvisquire                              2
Cramorant                                2
Cursola                                  2
Cutiefly                                 2
Dottler                                  2
Drakloak                                 2
Duosion                                  2
Dustox                                   2
Fraxure                                  2
Gabite                                   2
Galarian Linoone                         2
Galarian Mr. Mime                        2
Girafarig                                2
Glalie                                   2
Gloom                                    2
Golem                                    2
Gothorita                                2
Grapploct                                2
Greedent                                 2
Grotle                                   2
Hakamo-o                                 2
Hattrem                                  2
Heatmor                                  2
Hippopotas                               2
Impidimp                                 2
Kadabra                                  2
Kricketune                               2
Lampent                                  2
Lickitung                                2
Lombre                                   2
Lopunny                                  2
Lunatone                                 2
Machoke                                  2
Maractus                                 2
Mareanie                                 2
Misdreavus                               2
Mothim                                   2
Munchlax                                 2
Noctowl                                  2
Nuzleaf                                  2
Octillery                                2
Onix                                     2
Oranguru                                 2
Parasect                                 2
Persian                                  2
Pupitar                                  2
Purrloin                                 2
Raboot                                   2
Riolu                                    2
Seaking                                  2
Sliggoo                                  2
Snover                                   2
Solrock                                  2
Stantler                                 2
Staravia                                 2
Stonjourner                              2
Sudowoodo                                2
Trapinch                                 2
Unfezant                                 2
Unown                                    2
Vanillish                                2
Vespiquen                                2
Vullaby                                  2
Wishiwashi                               2
Wynaut                                   2
Zweilous                                 2
Abra                                     1
Aipom                                    1
Alolan Diglett                           1
Alolan Meowth                            1
Applin                                   1
Arrokuda                                 1
Axew                                     1
Azurill                                  1
Baltoy                                   1
Barboach                                 1
Bergmite                                 1
Bidoof                                   1
Binacle                                  1
Blipbug                                  1
Bonsly                                   1
Bounsweet                                1
Bronzor                                  1
Budew                                    1
Buizel                                   1
Buneary                                  1
Bunnelby                                 1
Burmy                                    1
Carnivine                                1
Cascoon                                  1
Caterpie                                 1
Charmander                               1
Chatot                                   1
Cherrim                                  1
Cherubi                                  1
Chewtle                                  1
Chimchar                                 1
Chinchou                                 1
Chingling                                1
Cleffa                                   1
Clobbopus                                1
Combee                                   1
Corphish                                 1
Cranidos                                 1
Croagunk                                 1
Cubchoo                                  1
Cufant                                   1
Cyndaquil                                1
Dartrix                                  1
Darumaka                                 1
Deino                                    1
Dewott                                   1
Dewpider                                 1
Dreepy                                   1
Drifloon                                 1
Drilbur                                  1
Drizzile                                 1
Duskull                                  1
Dwebble                                  1
Eevee                                    1
Electrike                                1
Elekid                                   1
Elgyem                                   1
Espurr                                   1
Feebas                                   1
Finneon                                  1
Frillish                                 1
Galarian Darumaka                        1
Galarian Farfetch'd                      1
Galarian Meowth                          1
Galarian Ponyta                          1
Galarian Yamask                          1
Galarian Zigzagoon                       1
Gastly                                   1
Geodude                                  1
Gible                                    1
Glameow                                  1
Goldeen                                  1
Golett                                   1
Goomy                                    1
Gossifleur                               1
Gothita                                  1
Graveler                                 1
Grookey                                  1
Growlithe                                1
Grubbin                                  1
Happiny                                  1
Hatenna                                  1
Helioptile                               1
Hisuian Growlithe                        1
Hisuian Voltorb                          1
Hisuian Zorua                            1
Honedge                                  1
Hoothoot                                 1
Houndour                                 1
Inkay                                    1
Jangmo-o                                 1
Joltik                                   1
Karrablast                               1
Kirlia                                   1
Klang                                    1
Klink                                    1
Koffing                                  1
Krabby                                   1
Kricketot                                1
Larvitar                                 1
Litwick                                  1
Lotad                                    1
Lumineon                                 1
Luxio                                    1
Machop                                   1
Magby                                    1
Magikarp                                 1
Mantyke                                  1
Marill                                   1
Meditite                                 1
Meowth                                   1
Metapod                                  1
Milcery                                  1
Minccino                                 1
Morelull                                 1
Mudbray                                  1
Munna                                    1
Natu                                     1
Nickit                                   1
Nincada                                  1
Noibat                                   1
Nosepass                                 1
Oddish                                   1
Oshawott                                 1
Pancham                                  1
Paras                                    1
Petilil                                  1
Phantump                                 1
Pichu                                    1
Pidove                                   1
Piplup                                   1
Ponyta                                   1
Porygon                                  1
Psyduck                                  1
Pumpkaboo                                1
Quilava                                  1
Ralts                                    1
Remoraid                                 1
Rhyhorn                                  1
Roggenrola                               1
Rolycoly                                 1
Rookidee                                 1
Rowlet                                   1
Rufflet                                  1
Salandit                                 1
Scorbunny                                1
Scraggy                                  1
Sealeo                                   1
Seedot                                   1
Shellder                                 1
Shellos                                  1
Shelmet                                  1
Shieldon                                 1
Shinx                                    1
Silcoon                                  1
Silicobra                                1
Sinistea                                 1
Sizzlipede                               1
Skorupi                                  1
Skwovet                                  1
Snom                                     1
Snorunt                                  1
Sobble                                   1
Solosis                                  1
Spheal                                   1
Spritzee                                 1
Steenee                                  1
Stufful                                  1
Stunky                                   1
Swablu                                   1
Swinub                                   1
Swirlix                                  1
Teddiursa                                1
Tentacool                                1
Timburr                                  1
Toxel                                    1
Tranquill                                1
Trubbish                                 1
Turtwig                                  1
Tympole                                  1
Tyrogue                                  1
Vanillite                                1
Vibrava                                  1
Wailmer                                  1
Wimpod                                   1
Wingull                                  1
Woobat                                   1
Wooloo                                   1
Wooper                                   1
Wormadam                                 1
Wurmple                                  1
Yamask                                   1
Yamper                                   1
Yanma                                    1
Zigzagoon                                1
Zubat                                    1

======================================================================
IN BOTH FILES BUT UNAVAILABLE (66 items)
======================================================================
Master Name                         Points
------------------------------------------
Dragapult                               19
Sneasler                                18
Toxapex                                 17
Cinderace                               16
Garchomp                                16
Gliscor                                 16
Aegislash                               15
Clefable                                15
Infernape                               15
Scizor                                  15
Suicune                                 15
Togekiss                                15
Entei                                   14
Galarian Zapdos                         14
Rotom-Heat                              14
Tyranitar                               14
Alakazam                                13
Azelf                                   13
Ditto                                   13
Dracovish                               13
Gengar                                  13
Hisuian Zoroark                         13
Tapu Lele                               13
Chandelure                              12
Chansey                                 12
Gyarados                                12
Hisuian Goodra                          12
Vaporeon                                12
Pelipper                                11
Porygon2                                11
Sableye                                 11
Bisharp                                 10
Cinccino                                10
Gardevoir                               10
Jolteon                                 10
Mimikyu                                 10
Moltres                                 10
Rotom-Mow                               10
Snorlax                                 10
Gligar                                   9
Hisuian Typhlosion                       9
Umbreon                                  9
Dusclops                                 8
Espeon                                   8
Flygon                                   8
Hitmontop                                8
Regirock                                 8
Tentacruel                               8
Tsareena                                 8
Whimsicott                               8
Galarian Corsola                         7
Gigalith                                 7
Charizard                                6
Copperajah                               6
Froslass                                 6
Shedinja                                 6
Beartic                                  5
Hisuian Avalugg                          5
Malamar                                  5
Whiscash                                 3
Butterfree                               2
Pawniard                                 2
Delibird                                 1
Farfetch'd                               1
Mime Jr.                                 1
Togepi                                   1

======================================================================
IN MINE.CSV BUT NO MATCH IN MASTER (1 items)
======================================================================
  Tapu Bulu                                (normalized: tapu bulu)
